epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5409.06,1.09235,1.02813,0.01331,0.70057,0.4221,0.46607,0.35303,1.02357,1.77957,0.01818,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5575.53,1.10454,1.03767,0.01347,0.63118,0.45449,0.47271,0.36122,1.01941,1.72257,0.0175,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5742.18,1.08229,1.00551,0.01325,0.68229,0.40562,0.46616,0.35317,0.9903,1.79162,0.01704,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5908.72,1.08161,0.99045,0.01329,0.71074,0.42528,0.49423,0.38493,0.96305,1.74411,0.01649,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6075.69,1.06521,0.97387,0.01292,0.63544,0.49433,0.51266,0.39557,0.93702,1.61085,0.01558,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6242.66,1.05992,0.95909,0.01295,0.63593,0.45451,0.48419,0.37282,0.97797,1.82491,0.01686,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6409.59,1.05019,0.93999,0.01303,0.79055,0.38188,0.49725,0.39246,0.95932,1.93105,0.01616,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6576.57,1.04421,0.93609,0.01254,0.64669,0.49583,0.514,0.39739,0.98339,1.75044,0.01711,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6743.33,1.03057,0.90928,0.01251,0.63253,0.49338,0.50685,0.40227,1.00834,1.87834,0.01706,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6910.02,1.03857,0.91852,0.01251,0.74959,0.4132,0.48369,0.37665,1.00139,1.9434,0.0169,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7076.79,1.03518,0.89904,0.01253,0.70714,0.39913,0.49493,0.40417,0.98947,1.93396,0.0166,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7243.2,1.02192,0.88793,0.01236,0.77676,0.39048,0.49031,0.40096,0.94589,1.91379,0.01577,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7410.3,1.01219,0.87837,0.0122,0.70463,0.44794,0.49767,0.3958,0.95303,1.89199,0.01597,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7583.59,1.02288,0.85779,0.01201,0.74764,0.41139,0.4948,0.39814,0.97639,1.86293,0.01675,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7749.87,0.99953,0.84592,0.01217,0.6884,0.40748,0.49117,0.3945,0.95569,1.79203,0.01595,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7916.33,1.00376,0.84751,0.01171,0.72401,0.403,0.494,0.40473,0.96615,1.77222,0.01613,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8083.22,0.99004,0.81716,0.01205,0.61737,0.4622,0.49095,0.39143,0.95368,1.79837,0.01548,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8250.09,0.97851,0.81197,0.01181,0.7366,0.45154,0.49231,0.39281,0.96877,1.8193,0.01609,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8417.09,0.98866,0.78931,0.0117,0.65332,0.43119,0.46439,0.36797,0.98495,2.00058,0.01647,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8583.26,0.96922,0.78237,0.01151,0.70522,0.42709,0.46454,0.37384,0.97638,2.1486,0.01647,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8749.73,0.95764,0.78415,0.01157,0.72413,0.36339,0.44845,0.37189,0.93559,2.12246,0.01573,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8916.55,0.97084,0.76705,0.01159,0.62121,0.47188,0.48705,0.39383,0.95609,1.87313,0.01601,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9083.61,0.95376,0.75721,0.01123,0.63977,0.44336,0.4824,0.39396,0.96853,1.89373,0.01639,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9250.45,0.94828,0.73738,0.0112,0.62793,0.43256,0.47053,0.38281,0.99443,1.96245,0.01677,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9416.91,0.94549,0.72934,0.01114,0.6647,0.42284,0.45744,0.37422,0.96385,1.93819,0.01624,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9583.6,0.93321,0.72072,0.011,0.77219,0.42197,0.49941,0.41505,0.95482,1.85377,0.01612,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
